Acura,"TLX Sedan"
"Alfa Romeo","4C Coupe"
Audi,"A3 Sedan"
Audi,"A4 Sedan"
Audi,"A5 Coupe"
Audi,"A6 Sedan"
Audi,"A7 Sedan"
Audi,"Q3 SUV"
Audi,"Q5 SUV"
Audi,"Q7 Diesel"
Audi,"S3 Sedan"
Audi,"S4 Sedan"
Audi,"S5 Coupe"
Audi,"S8 Sedan"
Audi,"SQ5 SUV"
BMW,"2 Series Coupe"
BMW,"2 Series Convertible"
BMW,"3 Series Sedan"
BMW,"3 Series Gran Turismo Hatchback"
BMW,"4 Series Coupe"
BMW,"4 Series Gran Coupe Sedan"
BMW,"5 Series Diesel"
BMW,"7 Series Sedan"
BMW,"7 Series Diesel"
BMW,"M4 Coupe"
BMW,"X3 SUV"
BMW,"X4 SUV"
BMW,"X6 SUV"
BMW,"i3 Hatchback"
Bentley,"Flying Spur Sedan"
Cadillac,"Escalade SUV"
Chevrolet,"City Express Minivan"
Chevrolet,"Colorado Crew Cab"
Chevrolet,"Corvette Z06"
Chevrolet,"Corvette Convertible"
Chevrolet,"Corvette Coupe"
Chevrolet,"Cruze Diesel"
Chevrolet,"Impala Sedan"
Chevrolet,"Silverado 1500 Crew Cab"
Chevrolet,"Silverado 2500HD Crew Cab"
Chevrolet,"Suburban SUV"
Chevrolet,"Tahoe SUV"
Chevrolet,"Trax SUV"
Chrysler,"200 Sedan"
Chrysler,"300 Sedan"
Chrysler,"Town and Country Minivan"
Dodge,"Challenger Coupe"
Dodge,"Charger Sedan"
Dodge,"Charger SRT Hellcat"
Dodge,"Dart Sedan"
Dodge,"Durango SUV"
Dodge,"Grand Caravan Minivan"
Dodge,"Journey SUV"
Dodge,"Viper Coupe"
FIAT,"500 Convertible"
FIAT,"500L Wagon"
Ford,"Escape SUV"
Ford,"Explorer SUV"
Ford,"F-150 SuperCrew"
Ford,"F-150 SuperCab"
Ford,"F-250 Super Duty Crew Cab"
Ford,"F-350 Super Duty Crew Cab"
Ford,"F-450 Super Duty Crew Cab"
Ford,"Fiesta Sedan"
Ford,"Focus Sedan"
Ford,"Focus ST Hatchback"
Ford,"Mustang Coupe"
Ford,"Mustang Convertible"
GMC,"Canyon Crew Cab"
GMC,"Yukon XL SUV"
Honda,"CR-V SUV"
Honda,"Civic Sedan"
Honda,"Civic Coupe"
Honda,"Civic Si"
Honda,"Crosstour Hatchback"
Honda,"Fit Hatchback"
Honda,"Odyssey Minivan"
Hyundai,"Elantra Sedan"
Hyundai,"Equus Sedan"
Hyundai,"Genesis Sedan"
Hyundai,"Santa Fe Sport SUV"
Hyundai,"Sonata Sedan"
Hyundai,"Tucson SUV"
Infiniti,"Q50 Sedan"
Infiniti,"Q50 Hybrid"
Infiniti,"Q70 Sedan"
Infiniti,"QX80 SUV"
Jaguar,"F-TYPE Coupe"
Jaguar,"XF Sedan"
Jaguar,"XJ Sedan"
Jeep,"Compass SUV"
Jeep,"Grand Cherokee SUV"
Jeep,"Patriot SUV"
Jeep,"Renegade SUV"
Jeep,"Wrangler SUV"
Kia,"Forte Koup"
Kia,"K900 Sedan"
Kia,"Sedona Minivan"
Kia,"Sorento SUV"
Kia,"Soul EV Wagon"
Kia,"Sportage SUV"
"Land Rover","Discovery Sport SUV"
"Land Rover","LR4 SUV"
"Land Rover","Range Rover Evoque SUV"
"Land Rover","Range Rover Sport SUV"
Lexus,"CT 200h Hatchback"
Lexus,"IS 350 Sedan"
Lexus,"NX 200t SUV"
Lexus,"NX 300h SUV"
Lexus,"RC 350 Coupe"
Lexus,"RC F Coupe"
Lexus,"RX 450h SUV"
Lincoln,"MKC SUV"
Lincoln,"MKZ Sedan"
Lincoln,"MKZ Hybrid"
Lincoln,"Navigator SUV"
MINI,"Cooper Hatchback"
Mazda,"CX-5 SUV"
Mazda,"MX-5 Miata Convertible"
Mercedes-Benz,"C-Class Sedan"
Mercedes-Benz,"CLA-Class CLA45 AMG"
Mercedes-Benz,"CLS-Class Sedan"
Mercedes-Benz,"E-Class Sedan"
Mercedes-Benz,"E-Class Convertible"
Mercedes-Benz,"GLA-Class SUV"
Mercedes-Benz,"S-Class S63 AMG 4MATIC"
Mercedes-Benz,"S-Class Sedan"
Mercedes-Benz,"S-Class Coupe"
Mitsubishi,"Mirage Hatchback"
Mitsubishi,"Outlander Sport SUV"
Nissan,"GT-R Coupe"
Nissan,"Murano SUV"
Nissan,"NV200 Minivan"
Nissan,"Rogue SUV"
Porsche,"911 Convertible"
Porsche,"911 Coupe"
Porsche,"Boxster Convertible"
Porsche,"Cayenne SUV"
Porsche,"Macan SUV"
Porsche,"Panamera Sedan"
Porsche,"Panamera Hybrid"
Ram,"1500 Crew Cab"
Ram,"2500 Crew Cab"
Scion,"tC Hatchback"
Subaru,"Legacy Sedan"
Subaru,"Outback Wagon"
Subaru,"WRX STI Launch Edition"
Subaru,"WRX Sedan"
Subaru,"WRX STI"
Subaru,"XV Crosstrek Hybrid"
Tesla,"Model S Sedan"
Toyota,"4Runner SUV"
Toyota,"Camry Sedan"
Toyota,"Camry Hybrid Sedan"
Toyota,"Highlander SUV"
Toyota,"Highlander Hybrid SUV"
Toyota,"Land Cruiser SUV"
Toyota,"Prius Hatchback"
Toyota,"Prius v Wagon"
